,drug_classes
Interferons,1
Thioxanthenes,1
General anesthetics,1
Adamantane antivirals,1
Somatostatin and somatostatin analogs,1
Immune globulins,1
Smoking cessation agents,1
Mouth and throat products,1
Skeletal muscle relaxant combinations,1
Anthelmintics,1
